Instance,BestObj,RefObj,RefTime
pmed1.n100e198p5,127,127,0
pmed2.n100e193p10,98,98,0
pmed3.n100e198p10,93,93,0.01
pmed4.n100e196p20,74,74,0
pmed5.n100e196p33,48,48,0
pmed6.n200e786p5,84,84,0
pmed7.n200e779p10,64,64,0
pmed8.n200e792p20,55,55,0
pmed9.n200e785p40,37,37,0
pmed10.n200e786p67,20,20,0
pmed11.n300e1772p5,59,59,0.01
pmed12.n300e1758p10,51,51,0
pmed13.n300e1760p30,36,36,0
pmed14.n300e1771p60,26,26,0
pmed15.n300e1754p100,18,18,0
pmed16.n400e3153p5,47,47,0
pmed17.n400e3142p10,39,39,0
pmed18.n400e3134p40,28,28,0.01
pmed19.n400e3134p80,18,18,0.57
pmed20.n400e3144p133,13,13,0.03
pmed21.n500e4909p5,40,40,0.01
pmed22.n500e4896p10,38,38,0.24
pmed23.n500e4903p50,22,22,0.14
pmed24.n500e4914p100,15,15,0.04
pmed25.n500e4894p167,11,11,0.02
pmed26.n600e7069p5,38,38,0
pmed27.n600e7072p10,32,32,0
pmed28.n600e7054p60,18,18,0.04
pmed29.n600e7042p120,13,13,0.03
pmed30.n600e7042p200,9,9,0.35
pmed31.n700e9601p5,30,30,0
pmed32.n700e9584p10,29,29,0.05
pmed33.n700e9616p70,15,15,1.56
pmed34.n700e9585p140,11,11,0.04
pmed35.n800e12548p5,30,30,0.04
pmed36.n800e12560p10,27,27,0.55
pmed37.n800e12564p80,15,15,0.08
pmed38.n900e15898p5,29,29,0.03
pmed39.n900e15896p10,23,23,0.77
pmed40.n900e15879p90,13,13,0.25
tsp.u1060.p10,2273.08,2273.08,1.31
tsp.u1060.p20,1580.8,1580.8,14.88
tsp.u1060.p30,1207.77,1207.77,3.19
tsp.u1060.p40,1020.56,1020.56,3.26
tsp.u1060.p50,904.92,904.92,218.85
tsp.u1060.p60,781.17,781.17,7.75
tsp.u1060.p70,710.75,710.75,116.91
tsp.u1060.p80,652.16,652.16,316.57
tsp.u1060.p90,607.87,607.87,7.09
tsp.u1060.p100,570.01,570.01,19.04
tsp.u1060.p110,538.84,538.84,66.46
tsp.u1060.p120,510.27,510.27,397.85
tsp.u1060.p130,499.65,499.65,58.18
tsp.u1060.p140,452.46,452.46,127.39
tsp.u1060.p150,447.01,447.01,4.37
tsp.rl1323.p10,3077.3,3077.3,38.02
tsp.rl1323.p20,2016.4,2016.4,104.89
tsp.rl1323.p30,1631.5,1631.5,169.47
tsp.rl1323.p40,1352.36,1352.36,21.9
tsp.rl1323.p50,1187.27,1187.27,119.63
tsp.rl1323.p60,1063.01,1063.01,4190.92
tsp.rl1323.p70,971.93,971.93,6287.04
tsp.rl1323.p80,895.06,895.06,5265.81
tsp.rl1323.p90,832,832,776.23
tsp.rl1323.p100,787.1,789.7,2010.67
tsp.u1817.p10,457.91,457.91,604.53
tsp.u1817.p20,309.01,309.01,4068.06
tsp.u1817.p30,240.99,240.99,1239.97
tsp.u1817.p40,209.45,209.45,308.29
tsp.u1817.p50,184.91,184.91,471.94
tsp.u1817.p60,162.64,162.64,469.43
tsp.u1817.p70,148.11,148.11,19.66
tsp.u1817.p80,136.77,136.8,12.42
tsp.u1817.p90,129.51,129.51,3859.05
tsp.u1817.p100,126.99,126.99,2.35
tsp.u1817.p110,109.25,109.25,6954.89
tsp.u1817.p120,107.76,107.76,5.25
tsp.u1817.p130,104.73,107.75,7.04
tsp.u1817.p140,101.6,101.6,30.95
tsp.u1817.p150,91.6,92.44,1236.55
tsp.pcb3038.p10,728.54,728.54,5415.40
tsp.pcb3038.p20,493.04,493.04,972.10
tsp.pcb3038.p30,393.50,393.50,438.60
tsp.pcb3038.p40,336.42,336.42,763.00
tsp.pcb3038.p50,298.20,298.20,731.60
tsp.pcb3038.p100,206.63,206.63,565.80
tsp.pcb3038.p150,164.77,164.77,427.00
tsp.pcb3038.p200,140.90,140.90,899.40
tsp.pcb3038.p250,122.71,122.78,723.70
tsp.pcb3038.p300,115.25,115.25,537.40
tsp.pcb3038.p350,104.81,104.81,805.90
tsp.pcb3038.p400,97.49,97.51,620.60
tsp.pcb3038.p450,88.96,88.96,666.20
tsp.pcb3038.p500,85.00,85.00,435.80
